epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1377.33,1.18645,0.94277,1.40453,0.76884,0.69621,0.73081,0.43435,1.51543,1.07073,1.95547,0.000703961,0.000703961,0.000703961
43,1410.03,1.20039,0.94149,1.41056,0.75393,0.69847,0.72789,0.42607,1.50515,1.07765,1.93493,0.000686277,0.000686277,0.000686277
44,1442.67,1.16947,0.92937,1.40812,0.72602,0.7114,0.73355,0.43866,1.4677,1.04008,1.89829,0.000668593,0.000668593,0.000668593
45,1475.29,1.17539,0.92914,1.39469,0.77355,0.70127,0.73356,0.4321,1.51551,1.06593,1.91102,0.000650909,0.000650909,0.000650909
46,1508.01,1.1733,0.92514,1.38711,0.79935,0.69264,0.73623,0.43773,1.47559,1.05875,1.88162,0.000633226,0.000633226,0.000633226
47,1540.83,1.1613,0.90616,1.36631,0.77403,0.70467,0.74074,0.44191,1.46768,1.05306,1.898,0.000615542,0.000615542,0.000615542
48,1573.57,1.17034,0.91144,1.39176,0.81124,0.68142,0.75074,0.44613,1.47927,1.05342,1.89161,0.000597858,0.000597858,0.000597858
49,1606.39,1.15044,0.89039,1.37747,0.74437,0.72181,0.73662,0.43938,1.49844,1.03774,1.91617,0.000580174,0.000580174,0.000580174
50,1639.06,1.17792,0.90885,1.39197,0.77111,0.68701,0.72537,0.43281,1.49641,1.04049,1.96165,0.00056249,0.00056249,0.00056249
51,1671.71,1.15261,0.89878,1.38306,0.749,0.73245,0.73913,0.43959,1.48282,1.02381,1.90729,0.000544806,0.000544806,0.000544806
52,1704.39,1.14045,0.88297,1.37217,0.74925,0.72733,0.73541,0.45211,1.47231,1.05051,1.87853,0.000527122,0.000527122,0.000527122
53,1736.96,1.1297,0.89027,1.3713,0.76983,0.70544,0.7354,0.44059,1.49128,1.02392,1.93505,0.000509438,0.000509438,0.000509438
54,1769.63,1.12724,0.8747,1.36118,0.78656,0.71015,0.74355,0.44126,1.4981,1.03946,1.95428,0.000491755,0.000491755,0.000491755
55,1802.28,1.13737,0.87457,1.38703,0.77746,0.7152,0.74061,0.44536,1.46694,1.03309,1.90361,0.000474071,0.000474071,0.000474071
56,1835.04,1.1532,0.88795,1.3658,0.8011,0.72024,0.74122,0.44606,1.47005,1.0183,1.9099,0.000456387,0.000456387,0.000456387
57,1867.6,1.10728,0.84902,1.35201,0.78935,0.72204,0.75376,0.45176,1.44857,1.02764,1.8797,0.000438703,0.000438703,0.000438703
58,1900.13,1.14428,0.86919,1.37261,0.79644,0.74024,0.75683,0.45096,1.46208,1.02083,1.8976,0.000421019,0.000421019,0.000421019
59,1932.89,1.12504,0.86595,1.35693,0.80575,0.71154,0.7458,0.44558,1.47395,1.01799,1.91379,0.000403335,0.000403335,0.000403335
60,1965.37,1.10365,0.84716,1.34539,0.80335,0.71011,0.7469,0.44595,1.46801,1.02747,1.88595,0.000385651,0.000385651,0.000385651
61,1998.03,1.1063,0.84102,1.34371,0.78435,0.72123,0.74503,0.45383,1.45496,0.98494,1.87874,0.000367967,0.000367967,0.000367967
62,2030.75,1.11627,0.85334,1.35159,0.77954,0.73209,0.7459,0.44973,1.46608,1.01772,1.89493,0.000350284,0.000350284,0.000350284
63,2063.3,1.12216,0.85341,1.35814,0.78569,0.72975,0.7445,0.45457,1.457,1.00295,1.88776,0.0003326,0.0003326,0.0003326
64,2095.92,1.09678,0.8376,1.34915,0.79427,0.727,0.74079,0.45477,1.45984,1.00526,1.86773,0.000314916,0.000314916,0.000314916
65,2128.55,1.09697,0.83555,1.35077,0.77989,0.72725,0.74253,0.45368,1.46455,1.0143,1.88132,0.000297232,0.000297232,0.000297232
66,2160.98,1.07262,0.82735,1.34176,0.81587,0.7159,0.74563,0.45974,1.43663,0.98926,1.84069,0.000279548,0.000279548,0.000279548
67,2193.45,1.09141,0.80865,1.32462,0.79423,0.71758,0.74391,0.45163,1.45262,1.02425,1.88464,0.000261864,0.000261864,0.000261864
68,2226.07,1.09313,0.82421,1.35386,0.82596,0.70755,0.74364,0.45041,1.45662,1.00677,1.86553,0.00024418,0.00024418,0.00024418
69,2258.84,1.09446,0.82476,1.32592,0.75756,0.74966,0.75045,0.44954,1.47516,1.00772,1.87924,0.000226497,0.000226497,0.000226497
70,2291.51,1.08101,0.81138,1.33976,0.79454,0.72948,0.75362,0.45806,1.44599,1.00122,1.86121,0.000208813,0.000208813,0.000208813
71,2325.31,1.03331,0.7064,1.38716,0.82297,0.71155,0.75314,0.45864,1.44279,0.98768,1.86029,0.000191129,0.000191129,0.000191129
72,2357.78,0.99229,0.66894,1.3605,0.79378,0.74316,0.75676,0.46155,1.45232,0.98752,1.87203,0.000173445,0.000173445,0.000173445
73,2390.27,1.00057,0.66853,1.35769,0.80149,0.72518,0.74297,0.4511,1.44156,0.98703,1.87131,0.000155761,0.000155761,0.000155761
74,2422.79,0.96787,0.65778,1.34526,0.81167,0.73113,0.7514,0.45969,1.44564,0.98528,1.87538,0.000138077,0.000138077,0.000138077
75,2455.21,0.97768,0.64428,1.34468,0.79703,0.73027,0.74646,0.45624,1.45273,1.00305,1.87861,0.000120393,0.000120393,0.000120393
76,2487.54,0.9691,0.64232,1.33822,0.80639,0.7415,0.75143,0.46221,1.45402,0.9903,1.86957,0.000102709,0.000102709,0.000102709
77,2520,0.95572,0.6358,1.33627,0.80055,0.74512,0.75165,0.46035,1.4478,0.99072,1.86096,8.50255e-05,8.50255e-05,8.50255e-05
78,2552.47,0.94613,0.63553,1.33414,0.81748,0.7462,0.74813,0.45719,1.44681,0.9945,1.86554,6.73416e-05,6.73416e-05,6.73416e-05
79,2584.99,0.95098,0.6375,1.33263,0.81352,0.74729,0.75021,0.46083,1.44642,0.98675,1.86302,4.96578e-05,4.96578e-05,4.96578e-05
80,2617.5,0.95479,0.62078,1.31279,0.81398,0.7452,0.74992,0.46072,1.43694,0.97966,1.8565,3.19739e-05,3.19739e-05,3.19739e-05
