epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3853.53,1.1692,0.94706,1.37592,0.84077,0.75323,0.83052,0.50109,1.38067,0.98382,1.6838,0.000848969,0.000848969,0.000848969
43,3945.28,1.17068,0.94254,1.37668,0.82495,0.74537,0.82353,0.50106,1.40744,0.97922,1.70858,0.000834822,0.000834822,0.000834822
44,4037.52,1.16049,0.93894,1.38169,0.85348,0.74507,0.82763,0.50745,1.41226,0.95297,1.71531,0.000820675,0.000820675,0.000820675
45,4129.19,1.16148,0.91702,1.37384,0.85521,0.75605,0.83008,0.50902,1.39886,0.96683,1.68957,0.000806528,0.000806528,0.000806528
46,4221.41,1.1522,0.92029,1.36623,0.8307,0.76668,0.83371,0.50693,1.39161,0.95741,1.69281,0.00079238,0.00079238,0.00079238
47,4313.69,1.15334,0.91223,1.35708,0.83654,0.75733,0.8279,0.50465,1.40933,0.97591,1.70297,0.000778233,0.000778233,0.000778233
48,4399.51,1.1404,0.90298,1.34826,0.8277,0.75088,0.82891,0.49838,1.41163,0.96493,1.70281,0.000764086,0.000764086,0.000764086
49,4493.01,1.14621,0.9062,1.36161,0.84344,0.75416,0.82999,0.50418,1.407,0.96241,1.71899,0.000749939,0.000749939,0.000749939
50,4585.38,1.12822,0.89335,1.34918,0.83244,0.76937,0.83528,0.50842,1.40023,0.94589,1.68787,0.000735792,0.000735792,0.000735792
51,4677.19,1.13639,0.90192,1.35853,0.827,0.76526,0.82431,0.50042,1.41993,0.97542,1.71741,0.000721645,0.000721645,0.000721645
52,4769.92,1.1233,0.89932,1.35618,0.84458,0.74518,0.82745,0.50449,1.41588,0.95382,1.71066,0.000707498,0.000707498,0.000707498
53,4862.25,1.12629,0.88052,1.33126,0.86018,0.74116,0.82614,0.50575,1.40989,0.96716,1.71058,0.000693351,0.000693351,0.000693351
54,4954.41,1.12281,0.88028,1.3311,0.82607,0.76817,0.8333,0.50592,1.39734,0.96479,1.70895,0.000679204,0.000679204,0.000679204
55,5032.52,1.12311,0.888,1.34479,0.84067,0.76042,0.83138,0.50696,1.40408,0.95416,1.71611,0.000665057,0.000665057,0.000665057
56,5116.52,1.12306,0.88055,1.33996,0.84294,0.77563,0.83727,0.51094,1.40004,0.92786,1.69152,0.000650909,0.000650909,0.000650909
57,5199.97,1.12095,0.88494,1.33181,0.85954,0.76238,0.83269,0.50795,1.40601,0.93684,1.6966,0.000636762,0.000636762,0.000636762
58,5276.49,1.12253,0.86484,1.3421,0.84681,0.75601,0.83513,0.50696,1.40226,0.94021,1.69264,0.000622615,0.000622615,0.000622615
