epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1277.12,1.18246,0.89158,1.37184,0.74728,0.71611,0.7388,0.452,1.4398,0.97474,1.85744,0.000703961,0.000703961,0.000703961
43,1306.6,1.19602,0.91582,1.38437,0.77026,0.68647,0.7272,0.43693,1.46565,1.00398,1.87954,0.000686277,0.000686277,0.000686277
44,1335.74,1.16571,0.89705,1.39135,0.72378,0.70438,0.71713,0.44147,1.411,0.98201,1.84246,0.000668593,0.000668593,0.000668593
45,1365.24,1.1636,0.86551,1.36263,0.76827,0.69216,0.72892,0.44882,1.42473,0.96493,1.84789,0.000650909,0.000650909,0.000650909
46,1394.63,1.20569,0.90245,1.38849,0.78707,0.67372,0.73978,0.45715,1.41585,0.96663,1.81743,0.000633226,0.000633226,0.000633226
47,1424.04,1.1625,0.86938,1.36578,0.77121,0.69511,0.73606,0.44563,1.42576,0.95168,1.84407,0.000615542,0.000615542,0.000615542
48,1453.51,1.15981,0.86494,1.36351,0.77495,0.70978,0.73956,0.45834,1.42297,0.94808,1.83569,0.000597858,0.000597858,0.000597858
49,1482.99,1.17044,0.87712,1.37353,0.72499,0.73406,0.73213,0.44546,1.46769,0.94757,1.86837,0.000580174,0.000580174,0.000580174
50,1512.42,1.17785,0.87506,1.38414,0.76774,0.72017,0.7552,0.45569,1.44116,0.92552,1.8464,0.00056249,0.00056249,0.00056249
51,1541.7,1.1441,0.8564,1.36712,0.81696,0.68043,0.74882,0.46242,1.43291,0.93866,1.83968,0.000544806,0.000544806,0.000544806
52,1571.15,1.15573,0.85164,1.35339,0.79894,0.69468,0.74779,0.45829,1.4493,0.937,1.85989,0.000527122,0.000527122,0.000527122
53,1600.53,1.11725,0.82066,1.34902,0.79577,0.69342,0.74707,0.43548,1.47016,0.93124,1.88971,0.000509438,0.000509438,0.000509438
54,1629.94,1.13565,0.83988,1.3484,0.82374,0.69577,0.7509,0.45772,1.43312,0.92869,1.84776,0.000491755,0.000491755,0.000491755
55,1659.14,1.11056,0.83321,1.35109,0.76238,0.70464,0.73105,0.45,1.41586,0.9382,1.81621,0.000474071,0.000474071,0.000474071
56,1688.38,1.13864,0.8493,1.34613,0.82428,0.69851,0.75624,0.44798,1.45599,0.92353,1.87519,0.000456387,0.000456387,0.000456387
57,1719.81,1.09584,0.80693,1.33521,0.78991,0.71175,0.74827,0.45173,1.45194,0.90396,1.87052,0.000438703,0.000438703,0.000438703
